census_subdivision_id,census_year,clab_id,band_number
5957802,2011,,501
5957813,2011,,502
5957804,2011,,504
5949817,2011,,530
5949812,2011,,531
5949813,2011,,532
5949818,2011,,533
5949811,2011,,534
5949814,2011,,535
5949816,2011,,536
5949815,2011,,537
5945801,2011,,538
5945802,2011,,539
5949802,2011,,540
5945803,2011,,541
5955801,2011,,542
5959806,2011,,543
5959810,2011,,544
5955802,2011,,545
5955808,2011,,546
5955803,2011,,547
5955804,2011,,548
5915806,2011,,549
5915803,2011,,550
5929803,2011,,551
5924840,2011,,552
5924820,2011,,553
5927802,2011,,554
5915807,2011,,555
5931844,2011,,556
5931843,2011,,557
5909835,2011,,558
5909839,2011,,559
5915805,2011,,560
5909842,2011,,561
5909845,2011,,562
5915830,2011,,563
5915816,2011,,564
5909878,2011,,565
5915029,2011,,566
5909883,2011,,567
5909882,2011,,568
5915801,2011,,569
5909826,2011,,570
5909884,2011,,571
5909827,2011,,572
5909824,2011,,573
5909885,2011,,574
5909830,2011,,575
5909831,2011,,576
5915802,2011,,577
5909877,2011,,578
5909880,2011,,579
5909821,2011,,580
5909832,2011,,581
5909814,2011,,582
5909804,2011,,583
5909837,2011,,584
5909844,2011,,585
5909843,2011,,586
5909807,2011,,587
5909808,2011,,588
5909818,2011,,589
5931813,2011,,590
5931814,2011,,591
5931816,2011,,592
5931821,2011,,593
5931829,2011,,594
5931831,2011,,595
5907802,2011,,596
5907803,2011,,597
5907805,2011,,598
5907807,2011,,599
5937802,2011,,600
5935802,2011,,601
5901803,2011,,602
5901801,2011,,603
5901804,2011,,604
5901806,2011,,605
5903807,2011,,606
5951827,2011,,607
5951848,2011,,608
5955812,2011,,609
5955807,2011,,610
5953801,2011,,611
5951802,2011,,612
5951807,2011,,613
5951803,2011,,614
5951809,2011,,615
5939804,2011,,616
5951810,2011,,617
5953802,2011,,618
5951815,2011,,619
5951818,2011,,620
5924804,2011,,622
5924812,2011,,623
5926801,2011,,624
5943808,2011,,625
5943815,2011,,626
5943809,2011,,627
,,7029,628
,,7030,629
5924803,2011,,630
5943837,2011,,631
5943836,2011,,632
5943816,2011,,633
5924805,2011,,634
,,7095,635
5943813,2011,,636
,,7113,637
5924806,2011,,638
5924833,2011,,639
5917809,2011,,640
5919804,2011,,641
5919822,2011,,642
5919812,2011,,643
5917811,2011,,644
5919801,2011,,645
5919811,2011,,646
5919815,2011,,647
5921804,2011,,648
5921805,2011,,649
5919809,2011,,650
5921806,2011,,651
5917801,2011,,652
5917804,2011,,653
5917803,2011,,654
5917802,2011,,655
5917812,2011,,656
5917819,2011,,657
5917815,2011,,658
5923808,2011,,659
5923813,2011,,660
5923824,2011,,661
5919814,2011,,662
5923803,2011,,663
5923801,2011,,664
5923816,2011,,665
5923810,2011,,666
5923805,2011,,667
5923807,2011,,668
5947803,2011,,669
5947804,2011,,670
5949035,2011,,671
5947807,2011,,672
5947810,2011,,673
5947809,2011,,674
5947806,2011,,675
5949803,2011,,676
5949035,2011,,677
5949035,2011,,678
5949035,2011,,679
5949807,2011,,680
5949804,2011,,681
5949843,2011,,682
5949832,2011,,683
5933884,2011,,684
5933844,2011,,685
5933812,2011,,686
5933817,2011,,687
5933880,2011,,688
5939805,2011,,689
5933838,2011,,690
5933887,2011,,691
5933854,2011,,692
5933801,2011,,693
5933834,2011,,694
5933807,2011,,695
5933851,2011,,696
5933802,2011,,697
5933859,2011,,698
5933808,2011,,699
5909819,2011,,700
5909806,2011,,701
5933877,2011,,702
5933819,2011,,703
5933882,2011,,704
5933853,2011,,705
5933849,2011,,706
5933825,2011,,707
5909816,2011,,708
5941882,2011,,709
5941839,2011,,710
5941801,2011,,711
5941821,2011,,712
5941802,2011,,713
5941829,2011,,714
5941809,2011,,715
5941805,2011,,716
5941841,2011,,717
5941850,2011,,718
5941812,2011,,719
5941837,2011,,720
5941833,2011,,721
5941840,2011,,722
5941806,2011,,723
5943806,2011,,724
5951820,2011,,725
5951819,2011,,726
5951801,2011,,728
5951823,2011,,729
