riding_id,riding_name,mla_name,mla_party
64,Surrey-Newton,Harry Bains,New Democratic Party of BC
65,Surrey-Panorama,Marvin Hunt,BC Liberal Party
66,Surrey-Tynehead,Hon. Amrik Virk,BC Liberal Party
69,Vancouver-Fairview,George Heyman,New Democratic Party of BC
67,Surrey-Whalley,Bruce Ralston,New Democratic Party of BC
68,Surrey-White Rock,Gordon Hogg,BC Liberal Party
70,Vancouver-False Creek,Sam Sullivan,BC Liberal Party
1,Abbotsford-Mission,Simon Gibson,BC Liberal Party
3,Abbotsford West,Hon. Michael de Jong,BC Liberal Party
4,Alberni-Pacific Rim,Scott Fraser,New Democratic Party of BC
5,Boundary-Similkameen,Linda Larson,BC Liberal Party
2,Abbotsford South,Darryl Plecas,BC Liberal Party
10,Cariboo-Chilcotin,Donna Barnett,BC Liberal Party
11,Cariboo North,Donna Barnett,BC Liberal Party
6,Burnaby-Deer Lake,Kathy Corrigan,New Democratic Party of BC
7,Burnaby-Edmonds,Raj Chouhan,New Democratic Party of BC
8,Burnaby-Lougheed,Jane Jae-Kyung Shin,New Democratic Party of BC
9,Burnaby North,Richard T. Lee,BC Liberal Party
12,Chilliwack,John Martin,BC Liberal Party
13,Chilliwack-Hope,Laurie Throness,BC Liberal Party
14,Columbia River-Revelstoke,Norm Macdonald,New Democratic Party of BC
31,Langley,Hon. Mary Polak,BC Liberal Party
15,Comox Valley,Hon. Don Mcrae,BC Liberal Party
16,Coquitlam-Burke Mountain,Douglas Horne,BC Liberal Party
43,Oak Bay-Gordon Head,Andrew Weaver,Independent
17,Coquitlam-Maillardville,Steve Kim,New Democratic Party of BC
18,Cowichan Valley,Bill Routley,New Democratic Party of BC
78,Vancouver-Quilchena,Hon. Andrew Wilkinson,BC Liberal Party
19,Delta North,Scott Hamilton,BC Liberal Party
79,Vancouver-West End,Spencer Chandra Herbert,New Democratic Party of BC
80,Vernon-Monashee,Eric Foster,BC Liberal Party
20,Delta South,Vicki Huntington,Independent
34,Nanaimo,Leonard Eugene Krog,New Democratic Party of BC
35,Nanaimo-North Cowichan,Doug Routley,New Democratic Party of BC
21,Esquimalt-Royal Roads,Maurine Karagianis,New Democratic Party of BC
36,Nechako Lakes,Hon. John Rustad,BC Liberal Party
37,Nelson-Creston,Michelle Mungall,New Democratic Party of BC
22,Fort Langley-Aldergrove,Hon. Rich Coleman,BC Liberal Party
23,Fraser-Nicola,Jackie Tegart,BC Liberal Party
24,Juan de Fuca,John Horgan,New Democratic Party of BC
25,Kamloops-North Thompson,Hon. Dr. Terry Lake,BC Liberal Party
26,Kamloops-South Thompson,Hon. Todd Stone,BC Liberal Party
27,Kelowna-Lake Country,Norm Letnick,BC Liberal Party
28,Kelowna-Mission,Steve Thomson,BC Liberal Party
29,Kootenay East,Hon. Bill Bennett,BC Liberal Party
30,Kootenay West,Katrine Conroy,New Democratic Party of BC
32,Maple Ridge-Mission,Marc Dalton,BC Liberal Party
33,Maple Ridge-Pitt Meadows,Dr. Doug Bing,BC Liberal Party
81,Victoria-Beacon Hill,Carole James,New Democratic Party of BC
38,New Westminster,Judy Darcy,New Democratic Party of BC
39,North Coast,Jennifer Rice,New Democratic Party of BC
40,North Island,Claire Trevena,New Democratic Party of BC
41,North Vancouver-Lonsdale,Hon. Naomi Yamamoto,BC Liberal Party
42,North Vancouver-Seymour,Jane Thornthwaite,BC Liberal Party
44,Parksville-Qualicum,Michelle Stilwell,BC Liberal Party
45,Peace River North,Pat Pimm,BC Liberal Party
46,Peace River South,Mike Bernier,BC Liberal Party
47,Penticton,Dan Ashton,BC Liberal Party
48,Port Coquitlam,Mike Farnworth,New Democratic Party of BC
53,Richmond Centre,Hon. Teresa Wat,BC Liberal Party
49,Port Moody-Coquitlam,Linda Reimer,BC Liberal
50,Powell River-Sunshine Coast,Nicholas Simons,New Democratic Party of BC
50,Powell River-Sunshine Coast,Nicholas Simons,New Democratic Party of BC
50,Powell River-Sunshine Coast,Nicholas Simons,New Democratic Party of BC
51,Prince George-Mackenzie,Mike Morris,BC Liberal Party
52,Prince George-Valemount,Hon. Shirley Bond,BC Liberal Party
77,Vancouver-Point Grey,David Eby,New Democratic Party of BC
54,Richmond East,Linda Reid,BC Liberal Party
55,Richmond-Steveston,John Yap,BC Liberal Party
56,Saanich North and the Islands,Gary Holman,New Democratic Party of BC
57,Saanich South,Lana Popham,New Democratic Party of BC
58,Shuswap,Greg Kyllo,BC Liberal Party
59,Skeena,Robin Austin,New Democratic Party of BC
60,Stikine,Doug Donaldson,New Democratic Party of BC
61,Surrey-Cloverdale,Hon. Stephanie Cadieux,BC Liberal Party
62,Surrey-Fleetwood,Hon. Peter Fassbender,BC Liberal Party
63,Surrey-Green Timbers,Sue Hammell,New Democratic Party of BC
76,Vancouver-Mount Pleasant,Jenny Wai Ching Kwan,New Democratic Party of BC
82,Victoria-Swan Lake,Rob Fleming,New Democratic Party of BC
71,Vancouver-Fraserview,Hon. Suzanne Anton,BC Liberal Party
83,West Vancouver-Capilano,Hon. Ralph Sultan,BC Liberal Party
84,West Vancouver-Sea to Sky,Jordan Sturdy,BC Liberal Party
85,Westside-Kelowna,Hon. Christy Clark,BC Liberal Party
72,Vancouver-Hastings,Shane Simpson,New Democratic Party of BC
73,Vancouver-Kensington,Mable Elmore,New Democratic Party of BC
74,Vancouver-Kingsway,Adrian Dix,New Democratic Party of BC
75,Vancouver-Langara,Dr. Moira Stilwell,BC Liberal Party
