census_year,census_subdivision_id,clab_id,energy_utility_electric_id,energy_utility_gas_id,telcomm_utility_phone_id,telcomm_utility_cable_id
2011,5909052,,1,2,1,2
2011,5943008,,1,,1,
2011,5915038,,1,2,1,2
2011,5937028,,1,2,1,2
2011,5933019,,1,2,1,
2011,5933074,,1,,1,
2011,5915036,,1,2,1,2
2011,5915062,,1,,1,2
2011,5915025,,1,2,1,2
2011,5951022,,1,13,1,
2011,5933024,,1,2,1,
2011,5924034,,1,2,1,2
2011,5901043,,1,,1,2
2011,5903045,,2,2,1,2
2011,5917015,,1,2,1,2
2011,5933054,,1,2,1,4
2011,5955010,,1,2,1,
2011,5909020,,1,2,1,2
2011,5933067,,1,,1,
2011,5933028,,1,2,1,
2011,5937010,,1,2,1,2
2011,5917041,,1,2,1,2
2011,5926005,,1,2,1,2
2011,5915034,,1,2,1,2
2011,5926010,,1,2,1,2
2011,5901022,,1,2,1,2
2011,5903004,,2,2,1,2
2011,5926014,,1,2,1,2
2011,5955014,,1,14,1,2
2011,5915011,,1,2,1,2
2011,5919012,,1,2,1,2
2011,5901003,,1,2,1,2
2011,5937033,,1,2,1,2
2011,5917040,,1,2,1,2
2011,5901012,,1,2,1,2
2011,5951013,,1,13,1,
2011,5955034,,1,14,1,2
2011,5951009,,1,13,1,
2011,5905005,,2,2,1,2
2011,5929005,,1,2,1,5
2011,5924025,,1,,1,
2011,5939007,,1,,1,
2011,5905032,,6,2,1,2
2011,5951032,,1,,1,
2011,5905042,,2,2,1,2
2011,5909027,,1,2,1,2
2011,5949022,,1,,1,
2011,5917049,,1,2,1,2
2011,5909009,,1,2,1,2
2011,5951034,,1,13,1,6
2011,5955025,,1,2,1,
2011,5901039,,1,,1,2
2016,9999,,1,,,
2011,5933042,,1,2,1,2
2011,5903023,,2,,1,
2011,5935010,,2,2,1,2
2011,5909032,,1,2,1,2
2011,5907009,,2,2,1,
2011,5901028,,1,2,1,2
2011,5949005,,1,13,1,6
2011,5919021,,1,2,1,2
2011,5935016,,1,2,1,2
2011,5919016,,1,,1,2
2011,5917044,,1,2,1,2
2011,5915001,,1,2,1,2
2011,5915002,,1,2,1,2
2011,5921008,,1,2,1,2
2011,5931026,,1,,1,2
2011,5915065,,1,,1,2
2011,5933035,,1,2,1,
2011,5937005,,1,2,1,2
2011,5933015,,1,,1,
2011,5953033,,1,2,1,
2011,5915075,,1,2,1,2
2011,5947023,,1,,1,
2011,5953012,,1,,1,
2011,5933006,,1,2,1,2
2011,5917042,,1,2,1,2
2011,5905037,,2,2,1,2
2011,5909056,,1,2,1,2
2011,5905009,,2,2,1,2
2011,5903050,,1,,1,
2011,5921007,,1,2,1,2
2011,5903015,,7,2,1,2
2011,5903032,,1,,1,
2011,5949024,,1,,1,6
2011,5915029,,3,2,1,2
2011,5919008,,1,2,1,2
2011,5917005,,1,2,1,2
2011,5915046,,1,2,1,2
2011,5915051,,1,2,1,2
2011,5959007,,1,2,3,
2011,5917030,,1,2,1,2
2011,5907014,,2,2,1,
2011,5941005,,1,2,1,2
2011,5907005,,2,2,1,
2011,5921018,,1,2,1,2
2011,5935018,,1,2,1,2
2011,5931012,,1,,1,2
2011,5907041,,4,2,1,2
2011,5915070,,1,2,1,2
2011,5923008,,1,2,1,2
2011,5943017,,1,,1,
2011,5947030,,1,,1,
2011,5915039,,1,2,1,2
2011,5947007,,1,13,1,6
2011,5943023,,1,,1,
2011,5943012,,1,,1,
2011,5915043,,1,2,1,2
2011,5955005,,1,14,1,2
2011,5927008,,1,2,1,2
2011,5953023,,1,2,1,2
2011,5947012,,1,13,1,6
2011,5907024,,2,2,1,
2011,5921023,,1,2,1,2
2011,5947026,,1,,1,
2011,5941013,,1,2,1,2
2011,5901040,,1,,1,2
2011,5939019,,1,2,1,
2011,5915015,,1,2,1,2
2011,5905023,,2,2,1,2
2011,5917021,,1,2,1,2
2011,5903011,,2,2,1,
2011,5939032,,1,2,1,2
2011,5924039,,1,,1,
2011,5929011,,1,2,1,5
2011,5939045,,1,,1,4
2011,5917010,,1,2,1,2
2011,5903027,,1,,1,
2011,5903019,,2,,1,
2011,5951043,,1,13,1,6
2011,5917052,,1,2,1,2
2011,5937024,,1,2,1,2
2011,5901006,,1,2,1,2
2011,5931006,,1,2,1,2
2011,5949032,,1,,1,6
2011,5907035,,5,2,1,2
2011,5933045,,1,2,1,4
2011,5915004,,1,2,1,2
2011,5924030,,1,,1,
2011,5955030,,1,14,1,2
2011,5951038,,1,13,1,6
2011,5949011,,1,13,1,6
2011,5923025,,1,,1,
2011,5905014,,2,2,1,2
2011,5955003,,1,14,1,
2011,5923019,,1,,1,
2011,5953007,,1,,1,
2011,5915022,,1,2,1,2
2011,5951007,,1,13,1,
2011,5937014,,1,2,1,2
2011,5917034,,1,2,1,2
2011,5917047,,1,2,1,2
2011,5905018,,2,2,1,2
2011,5941025,,1,,1,
2011,5935029,,1,2,1,2
2011,5915055,,1,2,1,2
2011,5931020,,1,2,1,2
2011,5915007,,1,2,1,2
2011,5941009,,1,2,1,2
2011,5924029,,1,,1,
